No.,Destinations,Zone,Maximum weight (kilogram)
1,Argentina,17,20
2,Australia*,9,20
3,Austria,5,20
4,Bahrain,7,20
5,Bangladesh,6,20
6,Belarus,8,20
7,Belgium,12,20
8,Bhutan,6,20
9,Brazil,14,20
10,Brunei,3,20
11,Bulgaria,7,20
12,Cambodia,1,20
13,Canada,5,20
14,China,10,20
15,Cote dIvoire,3,20
16,Croatia,7,20
17,Cyprus,8,20
18,Czech (Rep.),4,20
19,Denmark*,4,20
20,Djibouti,13,20
21,Egypt,4,20
22,Estonia,4,20
23,Ethiopia,13,20
24,Finland,4,20
25,France*,4,20
26,Germany,3,20
27,Ghana,8,20
28,Greece,12,20
29,Hong Kong,19,20
30,Hungary,8,20
31,India,3,20
32,Indonesia,2,20
33,Iran (Islamic Rep.),3,20
34,Ireland,13,20
35,Israel,4,20
36,Italy*,4,20
37,Japan,11,20
38,Kenya,13,20
39,Korea (Rep.),2,20
40,Kuwait,11,20
41,Laos,1,20
42,Lebanon,11,20
43,Luxembourg,7,20
44,Macau,19,20
45,Macedonia,4,20
46,Madagascar,13,20
47,Malaysia,2,20
48,Maldives,3,20
49,Mauritius,3,20
50,Morocco,5,20
51,Myanmar,1,20
52,Nepal,2,20
53,Netherlands,4,20
54,New Zealand*,14,20
55,Nigeria,5,20
56,Norway,13,20
57,Oman,3,20
58,Pakistan,3,20
59,Philippines,2,20
60,Poland,4,20
61,Portugal*,8,20
62,Qatar,12,20
63,Romania,7,20
64,Russia,18,20
65,Saudi Arabia,8,20
66,Senegal,3,20
67,Serbia,7,20
68,Singapore,1,20
69,Slovakia,16,20
70,Slovenia,7,20
71,South Africa,7,20
72,Spain*,8,20
73,Sri Lanka,4,20
74,Sweden,13,20
75,Switzerland,15,20
76,Taiwan,1,20
77,Tanzania,8,20
78,Tunisia,4,20
79,Turkey,12,20
80,Ukraine,8,20
81,United Arab Emirates,3,20
82,United Kingdom*,3,20
83,United States of  America*,17,30
84,Vietnam,1,20
